sessions,classical_load,repetition,core_initialization_seconds,participant_startup_seconds,federation_seconds,participant_finish_seconds,simulation_seconds,offline_validation_seconds,simulation_seconds_per_transaction,federation_seconds_per_transaction,background_packets,classical_trace_rows,completed_transactions,distinct_boundary_timestamps,final_federation_ns,final_transaction_ns,ipc_rx_bytes,ipc_rx_lines,ipc_tx_bytes,ipc_tx_lines,synchronization_rounds
32,0.7,6,0.039860454002337065,0.03144173399778083,0.6322300850006286,0.0036530490033328533,0.7071853220040794,0.041163029993185773,0.02209954131262748,0.019757190156269644,68,1020,32,350,80936305,53210473,84102,1503,10395,578,414
4,0.0,1,0.006763971003238112,0.03092570299486397,0.05333692300337134,0.0043005280022043735,0.09532712500367779,0.0033884739968925714,0.023831781250919448,0.013334230750842835,0,68,4,20,8125600,8125600,5308,109,907,52,28
1,0.0,8,0.0024957380010164343,0.030429377999098506,0.014967369999794755,0.0034933339993585832,0.05138581999926828,0.00104166899836855,0.05138581999926828,0.014967369999794755,0,17,1,6,3388000,3388000,1367,32,295,17,8
32,0.0,0,0.040857072999642696,0.03126765799970599,0.6402309460027027,0.004469768995477352,0.7168254459975287,0.030404862001887523,0.022400795187422773,0.02000721706258446,0,544,32,146,52925600,52925600,44179,823,6936,374,210
32,0.0,4,0.04171718200086616,0.031560194001940545,0.4421448859939119,0.0036721460055559874,0.5190944080022746,0.029899075998400804,0.01622170025007108,0.013817027687309746,0,544,32,146,52925600,52925600,44179,823,6936,374,210
16,0.7,0,0.021316947000741493,0.032759111003542785,0.35145852799905697,0.003919283997674938,0.4094538700010162,0.055867907001811545,0.02559086687506351,0.02196615799994106,35,517,16,179,42090586,27325600,42305,765,5236,295,211
8,0.0,9,0.02851139999984298,0.0693341079968377,0.23538674700103002,0.0031512659988948144,0.3363835209966055,0.010373954006354325,0.04204794012457569,0.029423343375128752,0,136,8,38,14525600,14525600,10688,211,1746,98,54
1,0.0,0,0.008818176997010596,0.046556953006074764,0.03497971099568531,0.003590223001083359,0.09394506399985403,0.000979368996922858,0.09394506399985403,0.03497971099568531,0,17,1,6,3388000,3388000,1367,32,295,17,8
8,0.7,4,0.011428352001530584,0.05729361400153721,0.16894146500271745,0.003952489998482633,0.24161592100426788,0.026955016001011245,0.030201990125533484,0.02111768312533968,19,269,8,95,23256298,14525600,21761,401,2698,155,111
1,0.7,0,0.011972501000855118,0.09758771899942076,0.11933782100095414,0.006195814996317495,0.2350938559975475,0.0032369730033678934,0.2350938559975475,0.11933782100095414,4,45,1,18,5599153,3832867,3615,72,490,29,20
8,0.7,3,0.03188734599825693,0.030774148006457835,0.15927981899585575,0.004103466999367811,0.22604477999993833,0.009192916004394647,0.02825559749999229,0.01990997737448197,19,269,8,95,23256298,14525600,21761,401,2698,155,111
1,0.0,4,0.0026362429998698644,0.03181687700271141,0.016322499002853874,0.003497839999909047,0.05427345900534419,0.0009580459955031984,0.05427345900534419,0.016322499002853874,0,17,1,6,3388000,3388000,1367,32,295,17,8
8,0.0,2,0.00815601900103502,0.030282723004347645,0.10581378699862398,0.0037580540010822006,0.14801058300508885,0.005549636996875051,0.018501322875636106,0.013226723374827998,0,136,8,38,14525600,14525600,10688,211,1746,98,54
64,0.0,8,0.0877561870001955,0.032659995995345525,1.0206973669992294,0.003971938000177033,1.1450854879949475,0.06855569899926195,0.017891960749921054,0.01594839635936296,0,1088,64,290,104125600,104125600,89202,1639,13954,742,418
1,0.7,3,0.0029985559958731756,0.0318825350041152,0.02875153999775648,0.00349566999648232,0.06712830099422717,0.0012872910010628402,0.06712830099422717,0.02875153999775648,4,45,1,18,5599153,3832867,3615,72,490,29,20
